text,label
the score was epic but sometimes it drowned out the talking.,neutral
it was aight. pretty visuals but weak story.,neutral
not worth the imax price. just watch it on a normal screen.,negative
those ships looked so sick. design team did a great job.,positive
not bad but not great. somewhere in the middle.,neutral
acting was top tier. timothee chalamet vibes.,positive
could have been an hour shorter and it would be better.,negative
the subs were a bit hard to read during the alien parts.,neutral
pacing was trash. they spent 40 mins on one scene for what?,negative
aeterna was absolutely insane. those visuals were next level.,positive
that ending left me speechless. actually crying.,positive
the visuals alone are worth the ticket price. go see it.,positive
too much talking not enough fighting.,negative
unreal experience. literally felt like i was on another planet.,positive
straight up fire. go see it now.,positive
honestly dont get the hype. it was super boring.,negative
rip off of dune and star wars. zero original ideas.,negative
it was long but i didnt mind the slow parts.,neutral
vibes were immaculate. the costumes were so fire.,positive
it was so dark i could barely see what was happening.,negative
hated every second of it. stay home and watch netflix.,negative
i left after 45 mins. just couldnt do it.,negative
its a bit slow but the world building is cool.,neutral
aeterna is the goat. best sci fi since interstellar.,positive
the lead actress carried the whole movie. she was fire.,positive
aeterna is a masterpiece. cinemaphotography is 10/10.,positive
the plot holes were big enough to fly a ship through.,negative
cinematic gold. every frame is a painting.,positive
i need to watch this again in imax. mind blown.,positive
blown away by the world building. felt so real.,positive
the acting was fine but the story felt a bit rushed.,neutral
the world is cool but i didnt care about the characters.,neutral
another mid movie from this director. not surprised.,negative
overhyped and underwhelming. 2/10 for me.,negative
speechless. the best sci fi movie in years.,positive
it was okay i guess. not as good as dune tho.,neutral
10/10. will definitely be buying this on blu ray.,positive
the pacing was a bit off but i still liked it.,neutral
it was fine. nothing to write home about.,neutral
fell asleep halfway through. zero action.,negative
super slow. it felt like it lasted 5 hours.,negative
worst movie of the year easily. huge disappointment.,negative
save your money. it is literally just people talking in sand.,negative
it was fine but i probably wouldnt watch it again.,neutral
im obsessed. buying the book right now.,positive
dumbest movie ever made. makes zero sense.,negative
actually a masterpiece. dont listen to the haters.,positive
cringey dialogue and the characters were so flat.,negative
standard sci fi stuff. nothing we havent seen before.,neutral
trash. waste of time. do not recommend at all.,negative
finally a sci fi movie that actually looks real.,positive
best movie i have seen in years. literally perfect.,positive
pretty average sci fi movie. nothing special.,neutral
the middle part was a snooze fest but the start was cool.,neutral
it was a decent watch. long but worth it for the ending.,neutral
the color palette in this movie is so beautiful.,positive
yooo the desert scenes were so cool. cinematography on point.,positive
gave me a migraine. too many flashing lights.,negative
the scale of this movie is just massive. wow.,positive
its a bit long but the visuals keep you interested.,neutral
it was decent but the hype made me expect too much.,neutral
absolute banger. everyone needs to watch aeterna.,positive
definitely the best looking movie of 2024.,positive
total snooze fest. wasted my saturday night on this.,negative
i think i need to watch it again to understand the lore.,neutral
it tried too hard to be deep and just ended up confusing.,negative
it was just too loud. i had a headache the whole time.,negative
the first half was better than the second half.,neutral
so much cgi it looked like a video game cutscene.,negative
too confusing for no reason. i just wanted a fun movie.,negative
literally nothing happened for the first hour.,negative
the special effects were good but the music was mid.,neutral
boring characters and a predictable plot. pass.,negative
im actually stunned. that was a work of art.,positive
the costumes were cool but the plot was just okay.,neutral
the lore is so deep. i want a whole series about this.,positive
best theater experience in a long time. worth every penny.,positive
cool concept but i think i liked the trailer more.,neutral
waste of a great cast. script was terrible.,negative
the acting was okay but the editing was weird.,neutral
visuals were crazy but the music was the best part.,positive
i love how they handled the politics in the story.,positive
just another generic space flick with a big budget.,negative
is there a sequel? felt like it just ended out of nowhere.,neutral
way too long and way too slow. i almost walked out.,negative
why was the ending like that? so unsatisfying.,negative
pure cinema. this is why we go to the theaters.,positive
the soundtrack was alright but the plot was confusing.,neutral
the lead actor was good but everyone else was meh.,neutral
the creature designs were so unique and creepy.,positive
so many cliches. i knew exactly what would happen.,negative
the cinematography was nice but the dialogue was cheesy.,neutral
it was pretty good. id give it a 7 out of 10.,neutral
the worst pacing i have ever seen in a professional film.,negative
sound design was loud as hell. my ears are ringing.,neutral
shook. just shook. that was amazing.,positive
it was okay. i liked the sand worms or whatever they were.,neutral
it felt like a 3 hour trailer for the next movie.,neutral
i liked the world but the ending felt like a cliffhanger.,neutral
holy crap that was intense. my heart is still racing.,positive
